+---------------------+---------------------+----------+----------+--------------+---------------+----------------+-------------+
| Date                | Date                |     Open |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |    Strategy |
| 2001-11-05 00:00:00 | 2001-11-05 00:00:00 |  86.86   |  83.75   |            0 |             1 |      7.75      |   1466.8    |
| 2001-11-12 00:00:00 | 2001-11-12 00:00:00 |  87.75   |  86.86   |            0 |             1 |     10.86      |   1477.66   |
| 2001-11-19 00:00:00 | 2001-11-19 00:00:00 |  90.15   |  88.75   |            0 |             1 |     12.75      |   1490.41   |
| 2001-11-26 00:00:00 | 2001-11-26 00:00:00 |  89      |  90.05   |            0 |             1 |     14.05      |   1504.46   |
| 2001-12-03 00:00:00 | 2001-12-03 00:00:00 |  91.61   |  88      |            0 |             1 |     12         |   1516.46   |
| 2001-12-10 00:00:00 | 2001-12-10 00:00:00 |  89.66   |  91.5    |            0 |             1 |     15.5       |   1531.96   |
| 2001-12-17 00:00:00 | 2001-12-17 00:00:00 |  92.31   |  89.66   |            0 |             1 |     13.66      |   1545.62   |
| 2001-12-24 00:00:00 | 2001-12-24 00:00:00 |  93.27   |  92.31   |            0 |             1 |     16.31      |   1561.93   |
| 2001-12-31 00:00:00 | 2001-12-31 00:00:00 |  96.75   |  93.03   |            0 |             1 |     17.03      |   1578.96   |
| 2002-01-07 00:00:00 | 2002-01-07 00:00:00 |  91.15   |  97.25   |            0 |             1 |     21.25      |   1600.21   |
| 2002-01-14 00:00:00 | 2002-01-14 00:00:00 |  89.21   |  91      |            0 |             1 |     15         |   1615.21   |
| 2002-01-21 00:00:00 | 2002-01-21 00:00:00 |  87.3    |  89.25   |            0 |             1 |     13.25      |   1628.46   |
| 2002-01-28 00:00:00 | 2002-01-28 00:00:00 |  85.4    |  88.5    |            0 |             1 |     12.5       |   1640.96   |
| 2002-02-04 00:00:00 | 2002-02-04 00:00:00 |  83.8    |  84.2    |            0 |             1 |      8.2       |   1649.16   |
| 2002-02-11 00:00:00 | 2002-02-11 00:00:00 |  82.76   |  83.1    |            0 |             1 |      7.1       |   1656.26   |
| 2002-02-18 00:00:00 | 2002-02-18 00:00:00 |  79      |  82.76   |            0 |             1 |      6.76      |   1663.02   |
| 2002-02-25 00:00:00 | 2002-02-25 00:00:00 |  83.47   |  79.7    |            0 |             1 |      3.7       |   1666.72   |
| 2002-03-04 00:00:00 | 2002-03-04 00:00:00 |  90.29   |  84.45   |            0 |             1 |      8.45      |   1675.17   |
| 2002-03-11 00:00:00 | 2002-03-11 00:00:00 |  90      |  90.29   |            0 |             1 |     14.29      |   1689.46   |
